rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
333,0x88db703cd9aae6555a3a6c769f3dd3cde0a5111a,delegated,0x549e0d10baff4d6380d34db4aaf03af5775c198a3f2748731ca552fb9dd8a96c,49963620,349.621107,Socket gateway,12,0.000001733075021719
334,0x1ea670b857172340a28a97786ebb834ede72853d,delegated,0xe214b6de2047e82336ced9cb6b6ec6d1e9b9d837d7bb273f28d965488eaabb80,49963581,547,LI.FI diamond,134,2.29866129927e-7
335,0xd101676e46db19dff179b50584fc563186567484,delegated,0xe140db9b7678b02703edba9dd6eb363b73dcabbe6b7992cc7e11fe0492afb344,49963527,8100,LI.FI diamond,24,0.009550325695875135
336,0xb267584c20c2cd7c3a8b4e8425655d08348bccbc,plain,0x41ba69f430b8132dfd6c658452d038c7af2f51013bd4a70799c87e5a8d2f4b3e,49963474,419.670513,LI.FI diamond,6,0.000004157970800954
337,0x47400da4c778655e7e8b4c72557289321dff098d,delegated,0xce722b57e3f5b6b77b64f772dc3dfa9ceefef56b2dd4bd310685c8cad0b1bb2a,49963437,4200,LI.FI diamond,4836,0.0407926410939549
338,0xba3b564e10aeb44eacdf2d5a592d6ada4a7e26a1,delegated,0x873365aa385741321f2e82304edac6d910085f3d70b7cbcbce9de9c249ce30d6,49963213,2000,Socket gateway,5,0.001637131002853705
339,0x6792bf376132c5f6d5a3393cc385628486ddf2be,delegated,0x0e89c6459b1723c5852176af1522dde27b5e2fde8976c879ee6d1060a3e8a328,49963202,468.967991,LI.FI diamond,341,0.001610909221882912
340,0xe37e2ad608db53a3c2c0882548e9af9e0ddf167d,delegated,0x23d6891f90843d5633233b7f665ca3e263687723ef64df19a76fe281442d03fa,49963174,1690.872579,LI.FI diamond,119,0.04041556002731599
341,0xa0e7f96d7e9cb3e150139343404c2b9a3ff1d1e6,plain,0xa615bc41b63741f9c307b1e1e1f6a330a9c92276020c0190f06ce331d7469999,49962946,7937.443186,LI.FI diamond,72,0.039166816041046874
342,0x52125738a4ac48f5a620756e6c63dee6aa021562,delegated,0x73c8235f7dd58d8176107a5d317e0205834a0c5278c235278c28891fbf5840ce,49962920,3229.368928,LI.FI diamond,246,0.011820739384997543
343,0x582cd934c3f723b6d7e1808d571efd8272acc71b,delegated,0xa640478ebe855e3f526978955a6a8f60fd2a0f0f854e1f897d4fec305d1898d1,49962319,2224.103034,LI.FI diamond,103,0.000565834394710403
344,0xe559c07dce06a2653b4323aadbb5878ae851feef,plain,0x17ad35a08ecae47754d0d4029f02e92f679dfa4cb467f54bb4f9808fbfd43b78,49961930,500,Uniswap universal router,13,0.000003351124699988
345,0xbce77923af5fb2aba681d3722ff86ed312f0668c,delegated,0xdec78f7708f1a318c69c852f53901e5def7160c0e5cd4635a77b088be6187847,49961813,508,LI.FI diamond,263,0.000632425087790251
346,0xc2697a89ed1c18d8b7774ad2d38fcf8e0c1107f7,plain,0xba12dea6f9ff1ecb9b22030652d60f194222bdbe8c7ca5b1582bd1d1e286e9f5,49961361,1202.276233,LI.FI diamond,6,0.002464093058931535
347,0xa3cbad284c6a1786b23c0dc0684e2c3bfe40b0aa,plain,0x967b1903e3dad5b5c49d1c8799be1242836d8cd84beaa90154c46b57e9956506,49960999,4972.69,Socket gateway,24,0.002015495041691102
348,0x1a7b917d3e7bcf2f6f2695c197f8838e9fa30efd,plain,0xc327f18685f9f9bb62b9f747e41702aee2dc2d3c7a23f6e80846019e65de1de9,49960956,2744.47,Socket gateway,24,0.001360747889331111
349,0x9ba418f7607f1355bdd4ec55ffbc9564a3f368ee,delegated,0x699cedfe809fd79a6d2d226b080a9f013503cf1334837657448ac231277dcc6e,49960922,500,LI.FI diamond,688,0.002029024259376906
350,0x6da35093d7661418dc24606b5d3478cd1e64124d,delegated,0xb87e5efe6e96468341a443211e9b23888064f6cdac4c32377a522aca8d45d969,49959800,6682.279864,LI.FI diamond,15,0.01714628127180971
351,0xa629309d3a6d2c9443993fc35d8e1d74d12d08f5,plain,0x9c4f9edf32a00b5871d63c6cf1cd62d89a1bffc13963ecf0df2ff6e35b1c3542,49959616,601.000234,LI.FI diamond,7,0.005641667728311778
352,0xe0ba96b487155d788503208ba3deea396e474829,plain,0x606f8ee639cdd50fa82f16f9e4d8a2fa90261d061a0603878a565e546317f39b,49959313,550.082523,LI.FI diamond,1484,0.011189223970923244
